DepartmentId,Name,Code,CourseMounting,State,SchoolId,LecturerId
a7c29c89-dd1d-40c6-be0d-02a2c199b9ef,HORTICULTURE AND CROP SCIENCE,HCS001,False,0,5d767a4b-e995-4a97-a37c-f3aed0e0019c,
2b6d6a25-74e1-47dd-afa2-003b0aa16a8d,"AGRICULTURE ECONOMICS, AGRIBUSINESS AND EXTENSION",AGRB002,False,0,5d767a4b-e995-4a97-a37c-f3aed0e0019c,
9008f136-79dd-4c9a-9cd6-60146c3e4b60,CIVIL AND ENVIRONMENTAL ENGINEERING,CVE001,False,0,fe6672f4-0bf7-4067-95d5-e6fbf89a28f4,
e622dee5-3782-41e1-a27d-851698d9b6dd,COMPUTER AND ELECTRICAL ENGINEERING,CEEG002,False,0,fe6672f4-0bf7-4067-95d5-e6fbf89a28f4,
68cad935-7226-4812-8bda-5e9d1730fc62,ENERGY AND PETROLEUM ENGINEERING,EPE003,False,0,fe6672f4-0bf7-4067-95d5-e6fbf89a28f4,
74954a54-1585-455d-903e-14952e33540f,MECHANICAL AND MANUFACTURING ENGINEERING,MENG004,False,0,fe6672f4-0bf7-4067-95d5-e6fbf89a28f4,
b8336527-c217-40db-8d99-efe216dca817,PLANNING AND SUSTAINABILITY,PLSS001,False,0,e26c9204-273b-4d7a-84d7-2ef5eb9ec5b4,
f02e2d9e-c6b9-4eb9-8fd7-7a15aec4e309,GEOGRAPHIC SCIENCE,GES002,False,0,e26c9204-273b-4d7a-84d7-2ef5eb9ec5b4,
7f3ccd2b-fdf0-4bba-bc37-6989de4b6be7,ENTREPRENEURSHIP AND BUSINESS SCIENCES,ENTB001,False,0,292327e9-ff25-45ae-abf3-2c0713d33137,
33e347b3-dc21-4428-a32e-5cebd12b818f,LANGUAGES AND GENERAL STUDIES,LGS002,False,0,292327e9-ff25-45ae-abf3-2c0713d33137,
4523cb65-2c38-4252-bed9-6babbe41b434,ENVIRONMENTAL MANAGEMENT,ENMT001,False,0,fee66f4d-4e6f-4a73-87ad-ce8779796f6a,
