ProgramId,Name,Code,Duration,DepartmentId,State
81,BSC. ELECTRICAL AND ELECTRONIC ENGINEERING,,Four(4),e622dee5-3782-41e1-a27d-851698d9b6dd,14
81,BSC. ELECTRICAL AND ELECTRONIC ENGINEERING,,Four(4),e622dee5-3782-41e1-a27d-851698d9b6dd,15
81,BSC. ELECTRICAL AND ELECTRONIC ENGINEERING,,Four(4),e622dee5-3782-41e1-a27d-851698d9b6dd,16
81,BSC. ELECTRICAL AND ELECTRONIC ENGINEERING,,Four(4),e622dee5-3782-41e1-a27d-851698d9b6dd,17
81,BSC. ELECTRICAL AND ELECTRONIC ENGINEERING,,Four(4),e622dee5-3782-41e1-a27d-851698d9b6dd,18
81,BSC. ELECTRICAL AND ELECTRONIC ENGINEERING,,Four(4),e622dee5-3782-41e1-a27d-851698d9b6dd,19
74,BSC. AGRICULTURE,,Four(4),a7c29c89-dd1d-40c6-be0d-02a2c199b9ef,1
74,BSC. AGRICULTURE,,Four(4),a7c29c89-dd1d-40c6-be0d-02a2c199b9ef,2
73,BSC. AGRIBUSINESS,,Four(4),2b6d6a25-74e1-47dd-afa2-003b0aa16a8d,1
74,BSC. AGRICULTURE,,Four(4),a7c29c89-dd1d-40c6-be0d-02a2c199b9ef,3
