MountedCourseId,EnrollmentOption,Level,Semester,AcademicYear,ProgramId,AssignedBy,Date,CourseName,CourseCode,AssignedTo,Specialization,Category,Scoring,Credit,State,Deleted
550e93e2-80ac-4d2d-a261-5591f6c35887,REGULAR,300,SEMESTER 1,2020/2021,103,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,DESIGN AND ANALYSIS OF EXPERIMENTS I,STAT 305,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
c9ed1286-ffa6-4d98-b16c-a2316a3239db,REGULAR,200,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,NUMERICAL ANALYSIS AND COMPUTATION I,MATH 214,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
0f047e7a-6171-4859-8c3d-f510fc468caa,REGULAR,200,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,"SCIENCE, TECHNOLOGY , SOCIETY",UENR 202,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
532ef070-66e7-43de-b728-acbf8cb441f6,REGULAR,200,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,PROGRAMMING WITH VISUAL BASIC.NET,COMP 206,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
be38a433-14a3-4f14-92dd-b2298c2a9367,REGULAR,200,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,COMPUTER ORGANIZATION AND ARCHITECTURE,COMP 202,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
ee2bcc0d-7b60-47fb-a66a-848b68c062dd,REGULAR,200,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,ADVANCED DATABASE SYSTEM,COMP 204,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
40f8b891-8027-424e-8524-5d4436bf1ed0,REGULAR,200,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,SOFTWARE ENGINEERING,COMP 208,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,3,0,FALSE
7c0dbd98-4690-4a43-a18e-4ce55d6fb6aa,REGULAR,200,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,FRENCH FOR GENERAL COMMUNICATION II,UENR 204,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
8e9e39c3-60b0-4bda-8054-f233afa5dced,REGULAR,300,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,NETWORK SERVER AND INFRASTRUCTURE,INFT 316,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,ELECTIVE,TRUE,3,0,FALSE
8c744a7b-4f79-4b11-a8ff-6c9c2502ac63,REGULAR,300,SEMESTER 2,2018/2019,104,52a4b671-0311-4e43-8e1e-8948e7cb8aae,9/1/2021 10:57,RESEARCH METHODS IN COMPUTER SCIENCE,COMP 314,52a4b671-0311-4e43-8e1e-8948e7cb8aae,,CORE,TRUE,2,0,FALSE
