CreditLimitId,ProgramId,MaxCredit,MinCredit,Level,State,Deleted
5db37cda-fa6c-4373-81f5-570c93a20cf6,111,23,15,100,0,False
f1812ea6-1643-450e-96a6-060fbafd25c3,111,23,15,200,0,False
024c4d64-c5b6-4575-850c-35f2710c31bb,111,23,15,300,0,False
bfe21200-4930-4b14-a93e-a582207ac41e,111,23,15,400,0,False
44a5ba4f-4ae7-4dd4-b1c8-611c69f78281,73,23,15,100,0,False
eca71d73-71c8-4b64-ba96-9dacb402438a,73,23,15,200,0,False
150c280f-53a9-4968-97ea-e238822bef52,73,23,15,300,0,False
6d123330-f00a-4519-94f6-d6af65ac0925,73,23,15,400,0,False
503f5bae-8cb7-47fa-8c52-775e6a2c2006,74,23,15,100,0,False
1f8bce91-fdf7-4819-9c99-8bac1fae8aa9,74,23,15,200,0,False
858a8b6c-a5c2-4a2c-bce4-75b72e02daeb,74,23,15,300,0,False
02c82e71-bbd5-4f4d-bd6f-31619d98f018,74,23,15,400,0,False
4da0c8ae-835c-4921-b05b-da74843e2558,75,23,15,100,0,False
9bb0cc17-8987-4179-afe2-effbf922d47e,75,23,15,200,0,False
59dd93cc-d06f-4325-8c28-dcb5043056aa,75,23,15,300,0,False
93a8a9dc-7e21-49d4-a344-862422e14922,75,23,15,400,0,False
b4cdbe4d-070b-48c9-94e4-9f112818e03e,76,23,15,100,0,False
1a957ff9-bbe7-4d1b-8d96-109027c90248,76,23,15,200,0,False
ffeadd4f-2960-42ee-aef1-a9c724f96e85,76,23,15,300,0,False
023dc0c5-86a0-4921-8c83-d9abbb0a4732,76,23,15,400,0,False
a7c106b5-5c2d-43b8-95de-8f3b57acb762,77,23,15,100,0,False
79843796-be8f-40c3-8aa2-df51ebbdbdea,77,23,15,200,0,False
8d94139b-4f99-4cf3-aaf2-5469bdb4cf21,77,23,15,300,0,False
074f411c-e81e-4e10-a729-848b299c51ef,77,23,15,400,0,False
0d0e9c15-a538-41aa-abd9-6904a8557e58,78,23,15,100,0,False
b0f59a84-be50-4312-9b4d-182fdfb33409,78,23,15,200,0,False
d1db6c14-1fef-41c0-a267-cc9522ba0345,78,23,15,300,0,False
196fbb0d-792d-4b46-956d-a54286568a44,78,23,15,400,0,False
70525c6e-31ad-4b70-bd94-4addf0865f53,79,23,15,100,0,False
2a3de35e-6990-4bc8-a320-59089fc0156b,79,23,15,200,0,False
3fab6bfe-cacd-4ef9-8a90-1636958d3017,79,23,15,300,0,False
7c6f64b5-0cf4-4f07-ad40-e9e349543be6,79,23,15,400,0,False
4c0f8716-97ff-446a-8035-33e8e91db6a5,80,23,15,100,0,False
af818c0e-2396-4811-a572-7941ed52cb02,80,23,15,200,0,False
