CourseId,Code,CourseName,Credit,DepartmentId,State
714d0b13-0cad-4cd8-afb2-fd058512fbaf,NURS 124,NURSING PRACTICAL  II,1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
7f154017-ef04-495f-b11a-b09120c55eaa,NURS 201,INTRODUCTION TO BIOSTATISTICS,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
ce6ea6af-4a16-4370-8ed4-f18a0dbd0fc9,NURS 202,COMMUNITY BASED REHABILITATION,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
18eebebf-c5e5-4c08-ad16-a04b5d63bf3f,NURS 203,NURSING PRACTICAL III,1,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
e735ed34-5332-4c33-a87d-eedd37649e2d,NURS 204,"PHARMACOLOGY, PHARMACOVIGILANCE AND THERAPEUTICS II",2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
e3717f5b-7be9-49ba-be95-4b7eb935995f,NURS 205,ADVANCED NURSING I,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
2a7666e1-6eed-4fc3-b17d-74fa771a6bd0,NURS 206,ADVANCED NURSING II,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
e9010e0c-c1ab-45e4-8378-a76f8618d70b,NURS 207,BASIC SOCIOLOGY OF HEALTH,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
a521b34b-1c49-4ade-976e-7d66f5a50385,NURS 208,SIGN LANGUAGE,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
727356ab-ade9-4240-a842-bc11752d59ed,NURS 209,MEDICINE AND MEDICAL NURSING I,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
74a366e1-dbab-4338-8e3a-c1c4be82c2f8,NURS 226,INTRODUCTION TO COMMUNITY NURSING,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
1f24e8dd-46ad-4696-8c22-de66ff7e65a1,NURS 211,NUTRITION AND DIETETICS,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
9d728de7-0fb0-4c9d-8df4-804fbbab9709,NURS 212,HEALTH ASSESSMENT,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
4b4c244c-95a7-48d8-82cd-adc2e4f8a947,NURS 214,MEDICINE AND MEDICAL NURSING II,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
48278f14-6ecf-406e-86fe-24759485e7d7,NURS 215,SURGERY AND SURGICAL NURSING I,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
5b763147-d92b-4f79-80df-0222a53e9cb0,NURS 216,SURGERY AND SURGICAL NURSING II,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
a9f2662e-1f65-4430-9387-10724c372538,NURS 219,"PHARMACOLOGY, PHARMACOVIGILANCE AND THERAPEUTICS I",2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
85749b97-facb-4338-aab5-327188702c3a,NURS 220,NURSING PRACTICAL IV,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
237968d6-e8e7-4cbb-8bfa-df38fb516f97,NURS 224,THERAPEUTIC COMMUNICATION,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
a26de98e-3f0c-4a96-b7de-b38ff6684f33,UMLS 101,INTRODUCTION TO MEDICAL LABORATORY SCIENCE,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
2eca3865-fb1f-4ccd-80b6-542d26d51115,UMLS 103,INTRODUCTORY BIOLOGICAL CHEMISTRY I,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
913b875d-4b13-4324-bd92-aada3e786c0d,UMLS 105,MEDICAL PSYCHOLOGY,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
d62002c9-c93e-40f4-904c-65b13e350f64,UMLS 226,GENERAL PATHOLOGY,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
7ca81c89-05db-4278-9513-7e7d67415b4b,UMLS 107,MEDICAL SOCIOLOGY,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
a7a7599a-5897-4c3b-affc-4f9e7a2e5fed,FIDM 222,PUBLIC HEALTH IN GLOBAL DISASTER MANAGEMENT,3,4523cb65-2c38-4252-bed9-6babbe41b434,0
a8896e08-f682-446c-8274-a88512b79260,FIDM 216,INDUSTRIAL RISKS ASSESSMENT,3,4523cb65-2c38-4252-bed9-6babbe41b434,0
536d433a-fd52-4c26-8ba0-e8c1c5cd40fc,FIDM 224,TOTAL QUALITY MANAGEMENT,3,4523cb65-2c38-4252-bed9-6babbe41b434,0
0e7e6917-8847-468d-bb45-78290fd4057e,DEEE 201,INDUSTRIAL ATTACHMENT,6,e622dee5-3782-41e1-a27d-851698d9b6dd,0
80c4ef7f-f7c2-47a9-ae4a-53d7bb8ef7dd,DEEE 203,DESIGN PROJECT I,2,e622dee5-3782-41e1-a27d-851698d9b6dd,0
cf544f5b-c904-4af7-a061-d88c207be019,MATH 065,CALCULUS,2,7b3fd7d5-3710-407e-bc76-b4767f34cb44,0
39dc6b08-b52b-4cca-959f-37e1bdd88811,MECH 252,INDUSTRIAL ENGINEERING AND ERGONOMICS,2,74954a54-1585-455d-903e-14952e33540f,0
de172562-6fe2-4ef1-b8cb-ff5e601c4b24,MATH 063,CALCULUS,3,7b3fd7d5-3710-407e-bc76-b4767f34cb44,0
9a555bc9-20fd-4e23-bfeb-5df6dfceba39,PLSS 302,SUSTAINABLE LOCAL ECONOMIC DEVELOPMENT,3,b8336527-c217-40db-8d99-efe216dca817,0
4dd94db9-465d-4faf-877e-70cf76443a86,PLSS 304,RESEARCH METHODOLOGY,2,b8336527-c217-40db-8d99-efe216dca817,0
ed37de29-5c9a-477e-9db9-73aa5883c4e8,PLSS 306,CLIMATE CHANGE AND ADAPTATION PLANNING,3,b8336527-c217-40db-8d99-efe216dca817,0
7e275813-d1d5-41b5-8f76-817771cf4938,PLSS 308,PROJECT PLANNING AND MANAGEMENT,3,b8336527-c217-40db-8d99-efe216dca817,0
ce5d1bd8-383a-41e1-a419-f95917405fd2,PLSS 312,PUBLIC SERVICES AND INFRASTRUCTURE PLANNING,3,b8336527-c217-40db-8d99-efe216dca817,0
0bfb3b2e-048a-47c9-af10-d1de1747d77f,PLSS 314,PLANNING AND SUSTAINABILITY WORKSHOP IV,4,b8336527-c217-40db-8d99-efe216dca817,0
b2f1c400-d1e4-4576-abd6-23ed83170bf6,UMLS 109,CELL STRUCTURE AND GENETICS,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
21c608c2-4cda-46ef-a0f6-997b782add90,UMLS 201,MICROBIOLOGY I,3,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
8ea8cdd7-b2ce-4219-b2f8-ddb1144b0538,UMLS 205,BIOCHEMISTRY I,2,d9579973-0e61-402f-8eeb-fef6b4d2f03e,0
